,hasType,eventName,date,latitude,longitude,hasLocation,hasSubtype,agencyLGUsPresentPreparedness,declarationOfCalamity,evacuationPlan,evacuationCenters,rescueUnit,rescueEquipment,affectedBarangays,dead,injured,missing,affectedFamilies,affectedPersons,displacedFamilies,displacedPersons,totallyDamagedHouses,partiallyDamagedHouses,infraDamageAmount,agricultureDamageAmount,commercialDamageAmount,powerAffected,communicationAffected,roadAndBridgesAffected,seaportsAffected,airportsAffected,areDamsAffected,isTapAffected,allocatedFunds,agencyLGUsPresentAssistance,internationalOrgsPresent,amoungNGOs,itemCostGoods,itemQtyGoods,itemCostWater,itemQtyWater,itemCostClothing,itemQtyClothing,itemCostMedicine,itemQtyMedicine,itemCostOthers1,itemCostOthers2,srrDone,policyChanges,postStructureCost,postTraining,reference,otherDescription,otherDescription,otherDescription,startDate,endDate,id
508,Water,MV Princess of the Orient Tragedy at Fortune Island,1998-09-18 00:00:00,,,"Nasugbu, Batangas",,,,,,,,,70,80,,,,,,,,,,,,,,,,,,,"AFP, PCG, PAF, PN, AFP-JOC, 11 medical teams from 11 hospitals in Metro Manila, DSWD, NDCC, DOTC, MARINA",,,,,,,,,,,,,,,,,"Final Report on the Effects of Typhoon Emang and Tropical Storm Gading. September 15-20, 1998. OCD NDCC Reports.",The incident occurred at the height of Typhoon Emang and Gading.,,,1998-09-18,1998-09-18,4286352c172641c0a46f9f674a1474fb
509,Tropical Cyclone,Typhoon Iliang ,1998-10-14 00:00:00,,,CAR,Landslide (Wet): [Bakun Benguet],,State of  Emergency - CAR,,26,,,,59,53,3,23190,119001,493,3405,1257,7708,Php 731 B,Php 120B,Php 288B,,,,,,,,,"DSWD, DOH, AFP, PNP and other local implementing agencies",,,,,,,,,,,,Php 2024242,"649 personnel from AFP, PNP, and local implementing Agencies",,,,"Final Report on the Effects of Typhoon Emang and Tropical Storm Gading. September 15-20, 1998. OCD NDCC Reports.",,,,1998-10-14,1998-10-14,590df4f6ca734654a37968a383edb59a
510,Tropical Cyclone,Tropical Depression Crising ,"April 30-May 2, 2009",,,Region IV-A|V,,PAGASA,2 LPAs 30 kms west of Mindoro and 70kms southeast of Legaspi City ,,6 (Region IV-A),,,22,2,,1,,,,,,,,,,,,Various road networks in Catanduanes including provincial road sections were reported as impassable,,,,,,"NDCC OPCEN, AFP, PCG, CDCC, OCD, DOH, DWSD, SWAD, MDCC Merida and Engineering District Office of DPWH, MSWD, 901st Brigade ", ,,,,,,,,,,,,,,,,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-04-30,2009-05-02,423555815a72434e89ba40ce510d2ff1
511,Tropical Cyclone,Typhoon Dante,"May 1-5, 2009",,,Albay|Catanduanes|Camarines Sur|Sorsogon,,,"State of Calamity - Albay, Camarines Sur, Sorsogon",,252,NAVFORSOL ,rubber boat and outboard motor,659,28,8,1,84213,418928,,,297,3460,Php 597122000,Php 625709467,,,,,,,,,,"NDCC, DWSD, DOH, LGU, NDCC",,,,4750 sacks of rice given by NDCC,,,,,Php 88665 for pedia and adulst in Region V,,,Php 9134216.89,"MDCC Magallanes, Sorsogon, Kabalikat Civicom, MHO Magallanes, volunteers and barangay officials conduct SRR operations, Albay Provincial Police Office provided security, PN-AVFORSOL provided M35 truck. 901st BDE for SRR, PNP-Pro 5 dispatched 4 trucks, 2 back-to-back vehicles, 1 SAR and RMG platoon ",,,,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-05-01,2009-05-05,1b2b12765c5d4cb9b62f63a06c572a51
512,Tropical Cyclone,Typhoon Emong,"May 6-10, 2009",,,Pangasinan,,PAGASA,"State of Calamity - Ifugao, La Union, 1st District Municipalities of Pangasinan Anda, Bolinao, Alaminos, Infanta, Mabini, Bani, Sual, Agno, Dasol, Burgos",,55,,,707,64,53,13,84280,400954,,,23482,32753,Php 413056443,Php 980212432,,,,"7 bridges were damaged in Binablayan, Tinoc, Ifugao, CAR",,,,,,"NDCC, DSWD, DPWH, RDCC, DepEd",,,"DSWD-Php 557199.36 food items, Php 851, 935.70 NFI, Php 585, 492.88 standby funds, Php 500,000 to Region I, and Php 300,000 to Region II, Php 917, 970 worth of relief supplies from DSWD National Relief Operations Center, DSWD Region I - Php 969,110, Region III- Php 21,912","1350 sacks of rice released by NDCC, 2601 family food packs by DSWD, 5000 packs of assorted DSWD Region I, 500 packs of assorted relief goods PDCC Pangasinan",,,,,"Php 51,088.90","medical supplies and medicines, 3 medical teams ",,Php 7279643.55,"PCG-SOG, AFP, Officers from Poro Point had an aerial survey",,Php 195000000,,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-05-06,2009-05-10,7896d0ecc99b4291887d799a526ada04
513,Tropical Cyclone ,Typhoon Feria,"June 23-26, 2009",,,"Boroncan, Eastern Samar",6 landslides|5 storm surges|4 tornadoes|7 sea mishaps|1 Severe Weather with hail stones|3 flashflood/Flood (General)|1 dike breached,,,,,,,,17,12,4,30566,150491,,,,,149050000,69244330,,,"19 TLS were damaged in Districts 1 and 3 of Panay, 9 topples, 7 leaning, 3 broken, 1 detached insulator",14 road sections and 18 bridges were closed,,,,,,"NDCC, DPWH, DOH, NGCP, DSWD, PNP, NAVFORCEN, MDCC, AFP",,,Php 501875 ,550 sacks,,,,,,,,1489390.4,,,,,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-06-23,2009-06-26,b1bd7bfbc8b546f291d866aee1ce4ae1
514,Tropical Cyclone,Tropical Depression Gorio,"July 9-10, 2009",,,Region I|CAR,Flood (General),,"State of Calamity - Bacarra, Ilocos Norte ",,,,,47,1,,,9740,42720,,,11,2,2700000,6165472.47,,,,,,,,,,"NFNL, PDCC EOC",,,,,,,,,,,,,,,7991542,,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-07-09,2009-07-10,1fec002c26a647efabe2f0c166a30e58
515,Tropical Cyclone,Typhoon Isang,"July 14-28, 2009",,,Region II|CAR|IV-A,Enhanced the Southwest Monsoon|strong winds|high tide,,,,26,,,269,5,1,,56055,248057,1655,8193,,,25273808,13906962,,,,7 roads were closed in CAR and Region IV-A,,,,,,"OCD-NDCC, DOH, DSWD",,,"Php 456250, Php 1073322.59, Php 785865.37, Php 1998529.29, Php 3857717.25","500 sacks of rice, 5894 food packs, food commodities",,,,,Php 291900,,,1347809,"AFP-NCRCOM - 1 SQD 51 RDC, 2 M35 trucks, 1SQD 2DRU, AFP-6 M35 trucks, 1 military jeep, 2 rubber boats and 31 personnel from ARESCOM",,,,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-07-14,2009-07-28,358edfa91fb64ba481510c51652daa1c
516,Tropical Cyclone,Typhoon Jolina,"July 30-August 2, 2009",,,Region IV-A|IV-B|X|BARMM,Flashflood|Landslide (Wet),,,,45,,,298,13,10,2,54318,226823,2311,11689,125,320,187053800,114086605,,,,"Region I slope protections were damaged, 8 brgy road sections were damaged in Pagudpud. Region IV-B scoured, damaged, washed out bridges. Region X - Bridge approaching Cotabato-Lanao Road in Lanao Del Sur collapsed ",,,"damaged diversion dam, washed out old brass dam, Magat Dam draw down reservoir elevation to 190m",,,"OpCen, NDCC, RDCC, PDCC, OCDRC, AFP, COMEASTMINCOM, PAGASA, Coast Guard ",,,,,,,,,,,,2229188.4,,,,,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-07-30,2009-08-02,ea683ba4fcad488a87c2fa902397e320
517,Tropical Cyclone,Typhoon Kiko,"August 3-7, 2009",,,Luzon,Landslide (Wet)|Riverine Flood,,"State of Calamity - Zambales Province, Municipality of Botolan, 5 barangays in Capas : O-donnel, Sta. Lucia, Sta. Juliana, Bueno, and Manuglo, Municipality of Tubungan,, Iloilo",,23,,,158,27,18,1,24332,122056,3216,13323,443,456,732249700,141197002.69,,,,"12 road sections in 12 municipalities and 6 road sections in Tarlac had eroded shoulders, potholes on asphalt pavement, washed-out gravel surface and cracks. In Nueva Ecija, Daang Maharalika Road was cut off due to massive occassional landslides,  concrete slope protection of raodway along Pantabangan-Canlili Basal- Baler Road collapsed. Zambales-box culvert of Olongapo-Bugallon road collapsed, steel bridge was constructed to span the gap from Sto. Nino Bridge in Cabangan, and a foot bridge was constructed for passengers",,,,,,"NDCC, DSWD-CO DOH, CDH-DOH CAR, PDCC, Baguio Water District",,,"1067247, 1586560.50 (from NROC to DSWD Field Office III), 1.5 Million standby funds for Region III, 3752566.12 standby funds DSWD Field Offices in Regions CAR, NCR, III","DSWD-CO assorted relief commodities, 1050 sacks of rice ",,1 unit of water pump,,,"27313.35, 132,193.00","CAR - drugs, medicines, and medical supplies, RIII- drugs, medicines, and jerry cans",,15483200,"2 choppers from AFP, 3 teams, M35 trucks, 2 vans, rescue medical equipment and pick  up rubber boat",,,,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-08-03,2009-08-07,46a90bc0a9a141bd8bea26586002e49b
518,Tropical Cyclone,Typhoon Labuyo,"September 2-5, 2009",,,Region III|VI|VIII,,,,,10,,,81,1,,,18960,95700,872,3776,11,,,,,,,,,,,,,"NDCC-OCD, MDCC, PAGASA, PDCC, PSWDO, MSWDO, NIA-Magat River Irrigation Integrated System, DSWD",,,,,,,,,,,,794507,,,,,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-09-02,2009-09-05,ccab1b7421b64a6fb259794bbdd6c126
519,Tropical Cyclone ,Tropical Depression Maring,"September 8-9, 2009",,,Region III|IV-A|IV-B,Landslide (Wet)|Tornado|Water,"PAGASA-DOST, OCDRs I, II, III, IV-A, IV-B, NCR, CAR, DepEd, DPWH, AFP, DSWD, NGCP",,,12,,,385,13,2,,87202,388373,1425,4994,3,20,68203714,236687714,,,,,,,,,,"NDCC, DSWD, QR/SWAD, DPWH, DA, NGCP, AFP, MDCC",,,4522171.5,"1350 sacks of rice, standy funds, family food packs, stockpile of relief commodities",,,,,,,,5434265,,,,,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-09-08,2009-09-09,3ea2fd5644044692965843a66aa0af1d
520,Tropical Cyclone,Tropical Depression Nando,"September 12-13, 2009",,,"Palanan, Isabela",,"PAGASA-DOST, OCDRCs, I, II, III, IV-A, PNP-CAR","LPA, Tropical Depression, Tropical Storm. Under state of calamity: Brgy. San Pablo Sur, Brgy. San Pablo Norte, and Brgy. Calios in Sta. Cruz Laguna",,2,,,53,3,3,,13677,68022,28,135,1,3,,,,,,,,,,,,"NDCC-OPCEN, DPWH, SWAD Teams of PDCC, RDCC, MDCC, BDCC, CDDC, MSWO, DENR-MGB, BFP and PNP, Governnor Teresita Lazaro, Congressman Edgar S. San Luis, Senator Ramon Revilla",,,,"family packs, 22 cavans of rice, bamboos, and coconut lumber",,,,,,medicines,,Php 35000,,,,,Final Reports of Destructive Tropical Cyclones 2009. OCD NDCC Reports,,,,2009-09-12,2009-09-13,fe5d3ba14fe843f59ee7c225b016f422
521,Tropical Cyclone,Tropical Storm Egay,"June 13-18, 2003",,,Region I|II|IV-A|IV-B|V|VIII|CAR,,,,,,,,143,12,3,2,9967,45400,484,2420,94,157,67758000,50123000,,,,,,,,,,"NDCC, DSWD, LGU",,1013210,640000,900 sacks of rice,,,,,,,,2308407,,,,,"Tropical Storm Egay June 13-18, 2003. OCD NDCC Reports",,,,2003-06-13,2003-06-18,5a7015c74cb1479d81569300c25a4e0f
522,Tropical Cyclone,Tropical Depression Violeta,2004-11-28 00:00:00,,,Region III|CAR|Region II,,"OCDRCs II, III, CAR, DSWD, DPWH",,,7,,,43,26,14,4,21151,99461,528,2369,337,821,39700020,209823496,,,,"Nueva Ecija-Aurora Road - not passable to all types of vehicles, Baler Caisguran Road - not passable to all types of vehicles, Dinadiawan-Madella Road - not passable to all types of vehicles, Claveria - not passable to all",,,,,,"NDCC, DSWD, DOH, NOLCOM, PNP, NFA Manila Rescue Team",,"209285 (LGU + NGO) for Dingalan, San Luis, Baler, San Leonardo",,"500 sacks of rice to Aurora, 71 sacks of relief goods to Baler, Aurora, 100 sakcs of rice from NFA Region 3, 1 fiber glass rubber boat, 1 6x6 truck, 1 vull truck",,,,"95 sacks of clothing Dingalan, 190 sacks of used clothing to Baler",500000,medicines,209285,7000000,1 van conducted SAR operation ,,,,"Typhoon Violeta November 24, 208. OCD NDCC Reports",,,,2004-11-28,2004-11-28,77d73b0a986343199852fe8c4603f271
523,Tropical Cyclone,Typhoon Loleng,"October 15-25, 1995",,,Region V|VIII,Landslide (Wet)|Flood (General),"DCCs Region I, II, III, IV, V, VI, VIII, Binga Dam Monitoring",,,3164,"Armed Forces of the Philippines Disaster Response Task Force, NOLCOM, SOLCOM","31 Helicopters, 23 130PAF Plane, 24 35Trucks, 6 6x6 Trucks, 3 Rubber Boats, 13 teams with 214 personnel, 15 rubber boats, 20 M-35 trucks, 8 OBM, COMMO VAN, Jepps, and Hammer Trucks",2667,303,751,29,910912,4582120,195425,806277,965810,307042,Php 2.226 B,Php 2.226 B,Php .773 B,"Region IV - Marinduque (Boac, Mogpog, Sta. Cruz) Quezon (Infanta) and Misamis Occidental (San Jose and Mamburao) had power interruptions. Aklan had no power supply. Northern Samar and Northern Leyte had no power.  ",Aurora province had interruptions with their service lines. Northern Samas had service interruption,"Region 1 Culvert at Brgy. Laoac Hector Mendoza Spillway. Region 2 collapsed bridges due to floods, portions of Maharlike Highway were closed, Villaflor, Sta. Fe and Nueva Vizcaya were impassable, Baculud bridge was impassable. Region 3 Roads were rendered impassable due to flood particularly Pampanga - San Fernando-Lubao, Angeles-Porac, Nueva Ecija Maharlika Highway in Castillano-SanLeonardo Maharlika Highway in Gapan Section, Bridges were also impassable due to overflow of rivers, Tarlac- Barangobong bridge in Panigue, Nueva Ecija - Bangerban bridge in Bongabon, Bato Ferry bridge in Laur and Gabaldon, Bangkerohan bridge in Palayan City. Region 4 Batangas, Laguna, Quezon, Occidental Mindoro and Cavite had impassable roads due to floods, bridge in Quezon  was also affected. Region V Antique  and Aklan bridges received damage. Region VIII Eastern Samar and Western Samar roads and bridges were impassable  ",,,"Region 1 Dike in San Carlos City washed out Brgy. Gelew, in Pangasinan Brgy Gualsec Malasique sustained a 1 meter crack. Region IV Marinduque Boac Flood Control dike in Boac river was washed out",,,"RDCC, DCC, DOC, OCD, PAGASA, DWSD, DOH, DSWD",,,,"121, 585 lbs of relief goods airlifted",,,,,,,,30.222 M,"Armed Forces of the Philippines Disaster Response Task Force mobilized and formed teams started the search, rescue and evacuation operations of the affected areas. ",,,,"Typhoon Loleng October 15-25, 1995. OCD NDCC Reports",,,,1995-10-15,1995-10-25,20e04278bb364833839291575385d216
524,Tropical Cyclone,Typhoon Sendang,1999-11-07 00:00:00,,,Region V|VI|VIII,,,,,3,,,139,24,7,9,23110,54152,8353,20639,256,11092,220320 M,366089 M,,"Electric posts and electric meters were damaged, power interruptions in Northern Samar, Sorsorgon, Legaspi City estimated cost of damages amounted to 399000",,"double barrel RCPC washed out, RCPC Riprap washed out, Scouring of Slope Protection (half-lane), impassable roads due to landslide and flood waters ",,,partially damaged irrigation dams estimated cost of damages amounted to 500000,damages in some of the main pipelines,,"DPWH, MDCC, PDCC, OCD-NDCC",,,,"Region VIII 15 sacks of rice, 5 boxes of sardines, 9 boxes of 3 in 1 coffee, 10 loaves of bread, 1 box of purefoods cup Mami, fuel for vehicles to transport evacuees",,,,,172 000,,,,,,,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-11-07,1999-11-07,c467072b63ef4d58a9250f31be8584ec
525,Tropical Cyclone, Typhoon Rening,1999-10-15 00:00:00,,,Region III|NCR,,PAGASA,Typhoon Signal No. 1 Eastern Samar and Bicol Region ,,,,"4 M 35 trucks, 1 M35 truck with 7 enlisted personnel, 2 M35 trucks by October 16, 1999, 2 M35 trucks by October 18. 1999",9,1,,,3290,5791,,,,,,,,,,"Angeles - Porac Mancatian Section considdered not passable to light vehicles due to flood, Bocaue - Lolomboy not passable due to flood, Concepcion - Magalang road in Brgy San Nicolas Balar, Concepcion considered not passable to light vehicles due to flood",,,,,,,,,,,,,,,,,,,,,,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-10-15,1999-10-15,df606a41dc074c33a859e476517d6219
526,Tropical Cyclone ,Typhoon Pepang ,"October 11, 1999",,,Region I|II|CAR,,,Cagayan Province under State of Calamity,,,"PNART, PHILFLT, PMAR, NAVFORNORTH","REGION 1: M35 Truck, 1 helicopter, 1 rubber boat and 1 M-35 truck from PNART, 1 MARU rubber boat and 1 M35 truck, 2 PNARTs, 2 rubber boats, 2 M-35 trucks, and 1 SWG team with 1 rubber boat from NAVFORNORTH. REGION 2 - 5 dump trucks, 5 teams from PDCC, Rescue 29. CAR - CDRCC assests 1 pick-up and 1 generator from DOTC, IVHF radio from PNP",1296,18,22,3,84089,444770,,,2336,11091,"National - 122,693,020.00, School Buildings - 6, 080, 000.00, Local - 122, 693, 020.00, Electric Posts - 5,000,000,.00, Others - 1, 111, 900.00","Agriculture - 332, 385, 717.25, Fisheries - 8, 106, 260.00",,,,,,,,,,"Lingap Para sa Mahirap Foundation thru Congressman Rodolfo Aguinaldo, PDCC, DWSD, ABS-CBN Foundation, PNRC Cagayan",,,,"Region I - 50 cavans of rice. Region II - 4, 138 packs of relief goods (rice and assorted canned goods), 400 cavans of rice from NFA, DWSD II to  PDCC - 50 boxes of RTEF, 20 family packs, 50 sacks of rice, 5 cases of sardines, 5 cans of condensed milk, 10 cans nido milk, 50 kilos of refined sugar, ABS-CBN 1,000 packs of relief goods, PNRC Cagayan - 600 packs of relief goods",,,,,,,,"459, 125.50 (DSWD - 41, 300.00, LGU - 167, 598.00, NGO/GO - 58, 495.00, PGO/PSWDO - 89,094.00)","Region I - rescue teams in San Maniel and Bayombong Towns. Region II - 505th PAF Search and Rescue Team, Aerial Survey by RDCC and PDCC",,P 10.0 Million,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-10-11,1999-10-11,ca26649678a547d79a81c06cca3ed10e
527,Tropical Cyclone, Typhoon Neneng,"September 13, 1999",,,Region I|II|CAR,,PAGASA,"Public Storm Signal No. 1 Batanes Group of Islands, Ilocos Provinces, Pangasinan, La Union",,,,,,15,2,,1163,6730,825,4577,52,112,,,,,,"CAR - Kabugao-Calanasan-Claveria Cagayan Road was closed due to traffic, Baguio-Benguet Kennon Road closed due to traffic because of huge slides, NCR - Marikina-Tumana Bridge not passable to all types of vehicles",,,,,,"MDCC, NGOs, ABS-CBN",,,"91, 965.00 worth of assorted relief goods from ABS-CBN","MDCC & NGOs -  Batingan - 2 cavans of rice, 1 box of noodles, 8 bags bread, 14 packs  assorted goods, 7 cavans rice.  Darangan - 2 boxes of noodles, 1 box of 11 tins sardines, 10 bags bread, 102 assorted goods, 42 packs powdered milk, medicines, 10 tins sardines, 94 packs of assorted goods, 3 cavans of rice, box of sardines, 38 cups of noodles, 100 packs biscuits, 1 box powdered milk, 2 packs of assorted goods, 5 sacks of rice, 100 cans of sardines, 1 box of noodles, 13 packs of assorted goods",,,,"6 sacks of used clothing, 3 blankets",,medicines,,,,,,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-09-13,1999-09-13,7d8be7f5643f41198cac47931d390ce6
528,Tropical Cyclone,Tropical Strom Luding,"August 18-21, 1999",,,CAR|I|II|III,,,"Flood Advisories in Cagayan River, Guagua River Basin, and Agno River. NPC Dam Monitoring particularly in Ambuklao, Binga, and Angat. NDCC-OCD disseminated dam water level to OCD regional centers. RDCC activated Disaster Coordinating Council and Emergency Broadcast System with KBP. Class Suspension in elementary and secondary levels for Region II",,22,"NDCC-OCD: All rescue units are on standby for resuce and evacuation. AFPDRTF of Northern Luzon are on standby for emergency response as well. CAR: DENR rescue team with 20 personnel. NFA stationed 4 rolling stores with 38,000 bags of rice.  DSWD pre-positioned food stuff to all provinces. ",DPWH: 6x6 truck to haul DSWD relief goods from Region III to CAR. DOTC 5 vehicles on standby.,211,10,23,1,7089,35222,3240,16978,34,373,Php 128.404 M,Php 29.432 M,,,,"Roads in Cagayan 1st ED were damaged particularly KM 544-546 along JGCCSM BPR with a road surface washed out, est. total cost of damages is Php 1.700M. In Isabela 1st ED, the Binatucan-Spillway-Aurora section was not passable to all types of vehicles and incurred total damages amounting to Php 5.000 M. Bridges in Quirino (Banuban, Nanagucan, Manabusao, Pigalan, Mazapit, Magapit incurred an estimated total cost of Php 2.900 M ",,,,,,,,,,,,,,,,,,,,,,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-08-18,1999-08-21,859c26a8a5894247a50d012cc3e91488
529,Tropical Cyclone Ising ,Typhoon Ising ,"August 3, 1999",,,Region III,,,,,170,"AFP MSUT LOGCOM(NOLCOM), BFP, RDCC 3, NIA, DPWH, 600TH ABW PAF, CSAF3 PAF, ARMY SUPPORT COMMAND PA, 69TH 7ID PA, PNRC PAMPANGA CHAPTER, NFA","AFP MSUT LOGCOM(NOLCOM) - 2 M35 trucks, BFP - 1 rescue boat with outboard motor, 21 Man Rescue Team, Ambulance with paramedic, RDCC 3 - 6 rescue boats with outboard motor, 3 wooden boats with outboard motor, 3 Teams of 7-Man Rescue Team, NIA - Stake Truck, Dump Truck , DPWH - Crane Truck and Dump Truck, 600TH ABW PAF - 2 M35 Truck, Rescue Team, CSAF3 PAF - UH-IH Helicopter, ARMY SUPPORT COMMAND PA - 2 M35 trucks, 1 rescue team, 69TH 7ID PA - 2 teams of 10 man rescue team, PNRC PAMPANGA CHAPTER - 1 rescue team, NFA - 3 rubber boats, 3 teams of 7-man rescue team",748,45,2,2,263324,1245917,7734,37015,31,163,"115.541 M (National), 154.034 (Provincial, Municipal, Barangay)",984..673 M,,,,Angeles and Porac road were not passable to light vehicles,,,,,Php 385000,"Provincial Government, Municipal Government, PNRC/NGOs and DSWD, PNP Task Force Kaligtasan, AFP NDRTF, BFP, NFA",,,,"50,000 pieaces of empty sacks to RDCC for sandbagging",,,,,"Php 289, 550",drugs and medicines from DOH,,14.372 M," PNP Task Force Kaligtasan, AFP NDRTF, BFP, NFA 6 officers and 65 personnel for DRT in SAR, Evacuation and Relief Operations. BFP Adnaced Comman Post at the RDCC Operations Center with radio communication, ambulance, and para-medic personnel.",,,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-08-03,1999-08-03,bf1685311d0940e6bc5059a1338784e7
530,Tropical Cyclone,Typhoon Helming,1999-07-25 00:00:00,,,NCR|I|CAR|III,,,"Agno river Basin Hydrological Response - expected to rise within the next 24 hours. Possibility of flooding in the low lying areas : Binalonan, San Jacinto, Laoc, Manaoag, Mangaldan, Mapandan, Santa Barbara, Calasiao, Bayambang, Bautista, Alcala, Santo Tomas, Urbiztondo, Mangatarem, Aguilar, Bugallon, Labrador, Lingayen, Urdaneta, Dagupan, and San Carlos.",,,,,46,,,1,11,55,Evacuees stayed with relatives,,3,,Php 13.630M,Php 2.511M,,"CAR Kapangan - Kibungan Road was closed to all vehicles, Mt. Province declared not passable due to landslide. Pampanga Mancatian Bridge not passable and Pulong Maragul also not passable.",,,,,,,,,,,,,,,,,,,,,,,,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-07-25,1999-07-25,dd28584d7eff4fdd83899333b27c1d94
531,Tropical Cyclone,Typhoon Etang and Tropical Depression Gening,"June 4-5, 1999",,,Region V|III|I|II,Lahar|Flood (General)|Landslide (Wet),,,,,,,,9,9,1,363 (Region 3),1521 (Region 3),260 (Region 1 and 3),1073 (Region 1 and 3),67 (Region 3),142 (Region 3),,"For Region 2 and Region 3 - Php 67, 550.00",,,,"Abra-Kalinga-Road - km 471-485 closed, Kalinga Tabuk Banaue is hardly passable due to slippery roads km 509-516",,,,,,,,,,"5 sacks of rice, 1 case of sardines, 1 box of noodles for Barangay Tabucolan. 5 sacks of rice, 6 boxes of canned goods, 1 box of sardines, 1 box pork and beans, 1 box of meat loaf for Brgy. Pasongol and Brgy. Fuerte in Ilocos Sur. Region III MDCC Mariveles, family packs consisting of 2 kilos of rice, 2 canned goods, 2 packs of noodles. 2 kilos of rice, 2 canned goods, 2 packs of noodles per family for Mariveles, Bataan",,,,"Blanket per family in Mariveles, Bataan",,,,,,,,,Destructive Typhoons 1999. OCD NDCC Reports,,,,1999-06-04,1999-06-05,488c2d665dd24b5f92e958fd2dc4aa9c
534,Drought,The Extraordinary Drought in the Philippines,"October 1911 - May 1912
",,,City of Manila,,Manila Observatory,,,,,,,,,,,,,,,,,"1) Production number of the following crops were reduced : rice, corn, root crops, coconuts, abaca (almost all crops) 2) Insufficient and delayed yield
",,,,,,,,,,,,,,,,,,,,,,,,,,,"1) Rev. Jose Coronas S.J.. Chief, Meteorological Division, Weather Bureau, Manila Observatory. (1920) The Climate and Weather of the Philippines, 1903-1918, pg.44,111, 115. Manila: Bureau of Printing. URL: http://name.umdl.umich.edu/AGH9000.0001.001 2) ""Remarkable Drought in the Philippines"" (1913).  Nature, Volume 91, No. 2277, pg. 409. Nature Publishing Group. ","1) Highest temperature recorded for the month of April is 37.5C while for May, it is 38.3C 2) The observed drought is considered as the worst since the observatory's establishment. 3) Recorded total rainfall of Manila is 3.73 in, April is the driest month. The recorded rainfall data is 0.03 in. 4) Data from other stations covered only a short period of time which makes it not as convincing as those with Manila.","A publication material entitled ""The Extraordinary Drought in the Philippines, October, 1911 to May, 1912"" by Rev. Jose Coronas, S.J. was published by the Bureau of Printing and distributed in Manila in 1912. ",,1911-10-01,1912-05-31,dfb69e7ae9b143bfbf5c20d3e59ceceb
535,Drought,The Extraordinary Drought in the Philippines,1849,,,City of Manila,,Manila Cathedral,,Offer public prayers or rogativas,,,,,,,,,,,,,,,Amount of rainfall around the month of August may be considered as one of the lowest possible before the advent of instrumental observation which started around 1865,,,,,,,,,,,,,,,,,,,,,,,,,,,"1) Warren, J.F. (2013). Climate Change and the Impact of Drought on Human Affairs and Human History in the Philippines, 1582-2009. (Working Paper No. 174 ISSN No. 1037-4612). National Library of Australia, Murdoch University, Perth, Western Australia. Retrieved from https://www.murdoch.edu.au/Research-capabilities/Asia-Research-Centre/_document/Warren-drought-paper--final-version-copy-3-3.pdf 2)  Miller, Hugo Herman (1913). Economic conditions in the Philippines, pg. 147. Boston, New York (etc.): Ginn and Company URL: http://name.umdl.umich.edu/AFQ6770.0001.001",,"The drought of 1849, according to Warren (2013), was included in the circular which was distributed by the Manila Cathedral. The circular was written by  the Archbishop of Manila, Fr. Jose Aranguren . This circular reflects in the reports written by Rev. Miguel Selga S.J., Director of Weather Bureau during that time. ",,1849-01-01,1849-12-31,aa0f5d3df896475ba20bcb44436b26b2
